_id,baujahr,baujahrZusatz,bezirk,denkmalnummer,feedsEntityId,feedsFlatstoreEntryId,kurzbezeichnung,lat,lon,nummer,ort,plz,strasse,timestamp,unterSchutz,untergruppe1,untergruppe2
,1806,,9,652,1187,660,KD-Wegekreuz,0.0,0.0,o.Nr.,Buchheim,51065,"Frankfurter Strasse / Arnsberger Strasse",1432648734,01.07.1980,,0
,18,,9,655,1187,663,KD-Wegekreuz,0.0,0.0,o.Nr.,Dellbrück,51069,"Gierather Strasse/ Mühlenhofweg",1432648734,01.07.1980,,0
,1884,,9,656,1187,664,KD-Wegekreuz,0.0,0.0,o.Nr.,Stammheim,51061,"Gisbertstrasse / Stammheimer Ring ",1432648734,01.07.1980,,0
,1850,um,9,659,1187,667,"Hofanlage Scheuerhof",0.0,0.0,21,Flittard,51069,"Grüner Kuhweg ",1432648734,01.07.1980,,0
,20,,9,660,1187,668,Platzanlage,0.0,0.0,o.Nr.,Buchheim,51065,"Guilleaumstrasse / Caumannsstrasse",1432648734,01.07.1980,,0
,20,,9,661,1187,669,Allee,0.0,0.0,o.Nr.,Buchforst,51107,"Heidelberger Strasse",1432648734,01.07.1980,,0
,1873,,9,662,1187,670,"Grünfläche mit Sportanlage, Verteidigungsanlage, Zwischenwerk XI b",0.0,0.0,o.Nr.,Buchheim,51067,"Herler Ring ",1432648734,01.07.1980,,0
,1900,um,9,666,1187,674,"Wohnhaus (ehem. Jagdhaus, z.Zt. Tierheim)",0.0,0.0,o.Nr.,Dellbrück,51069,"Iddelsfelder Hardt ",1432648734,01.07.1980,,0
,1884,,9,669,1187,676,"Hofanlage Haus Mielenforst u. Parkanlage",0.0,0.0,o.Nr.,Dellbrück,51069,"Mielenforster Kirchweg",1432648734,01.07.1980,,0
,1884,,9,670,1187,677,Friedhof,0.0,0.0,o.Nr.,Dellbrück,51069,"Mielenforster Kirchweg/ Mielenforster Busch",1432648734,01.07.1980,,0
,1900,um,9,671,1187,678,Wohnhaus,0.0,0.0,8,Dellbrück,51069,"Mielenforster Kirchweg",1432648734,01.07.1980,,0
,1884,,9,674,1187,681,Brunnen,0.0,0.0,o.Nr.,Mülheim,51063,"Mülheimer Freiheit/ Krahnenstrasse",1432648734,01.07.1980,,0
,18,,9,675,1187,682,"KD-Nepomukstatue vor St. Clement",0.0,0.0,o.Nr.,Mülheim,51063,"Mülheimer Ufer",1432648734,01.07.1980,,0
,1876,,9,677,1187,684,"Grünanlage, Verteidigungsanlage Zwischenwerk XI b",0.0,0.0,o.Nr.,Mülheim,51063,"Cottbuser Strasse / Berliner Strasse",1432648734,01.07.1980,,0
,19,,9,681,1187,688,KD-Bildstock,0.0,0.0,o.Nr.,Dünnwald,51069,"Prämonstratenserstrasse / Am Klosterhof",1432648734,01.07.1980,,0
,19,,9,685,1187,692,KD-Bildstock,0.0,0.0,o.Nr.,Flittard,51061,"Roggendorfstrasse / Egonstrasse",1432648734,01.07.1980,,0
,19,,9,692,1187,699,KD-Wegekreuz,0.0,0.0,o.Nr.,Stammheim,51061,"Stammheimer Hauptstrasse / Egonstrasse",1432648734,01.07.1980,,0
,20,,9,693,1187,700,Allee,0.0,0.0,o.Nr.,Stammheim,51061,"Stammheimer Ring bis Bilharzstrasse",1432648734,01.07.1980,,0
,19,,9,694,1187,701,"Parkanlage mit Kleindenkmal / Schloßpark",0.0,0.0,67,Stammheim,50735,"Stammheimer Hauptstrasse",1432648734,01.07.1980,,0
,20,,9,695,1187,702,Allee,0.0,0.0,o.Nr.,Mülheim,51061,"Stammheimer Ufer ",1432648734,01.07.1980,,0
,1900,nach,9,698,1187,705,Allee,0.0,0.0,o.Nr.,Dellbrück,51069,"Thielenbrucher Allee ",1432648734,01.07.1980,,0
,1881,,9,701,1187,708,"TD, Wasserturm",0.0,0.0,o.Nr.,Stammheim,51063,"Türkstrasse / Stammheimer Ufer",1432648734,01.07.1980,,0
,18,,9,704,1187,711,KD-Wegekreuz,0.0,0.0,o.Nr.,Holweide,51067,"Wichheimer Strasse / Kirchweg / Schlagbaumsweg",1432648734,01.07.1980,,0
,1895,,1,710,1187,717,"Pfarrhaus St. Michael",0.0,0.0,117-121,Neustadt-Nord,50674,Moltkestrasse,1432648734,07.05.1981,,0
,1921,um,7,740,1187,746,Wohnhaus,0.0,0.0,13,Porz,51143,Ohmstrasse,1432648734,04.08.1981,,0
,1925,um,6,741,1187,747,Friedhof,0.0,0.0,o.Nr.,Merkenich,50769,"Alte Römerstrasse / Feldkasseler Weg",1432648734,14.04.1987,,0
,1778,,1,743,1187,749,"Wohn- u. Geschäftshaus",0.0,0.0,103,Deutz,50679,"Deutzer Freiheit",1432648734,12.08.1981,,0
,1630,,1,746,1187,751,Wohnhaus,0.0,0.0,11,Altstadt-Nord,50677,"Salzgasse ",1432648737,19.08.1981,,0
,1880,um,1,753,1187,758,Wohnhaus,0.0,0.0,25,Altstadt-Nord,50668,"Unter Kahlenhausen",1432648737,14.08.1981,,0
,1905,um,9,755,1187,760,Wohnhaus,0.0,0.0,75,Mülheim,51065,"Bergisch Gladbacher Strasse",1432648737,04.09.1981,,0
,1903,um,3,770,1187,775,Wohnhaus,0.0,0.0,59-61,Lindenthal,50937,"Weyertal ",1432648737,11.09.1981,,0
,1900,um,9,772,1187,777,"Wohn- u. Geschäftshaus",0.0,0.0,112-114,Mülheim,51065,"Bergisch Gladbacher Strasse",1432648737,14.09.1981,,0
,19,,8,773,1187,778,Wohnhaus,0.0,0.0,9,Rath-Heumar,51107,"Am Alten Turm",1432648737,28.09.1981,,0
,1910,,4,776,1187,781,Wohnhaus,0.0,0.0,17,Ehrenfeld,50825,"Lessingstrasse / Thielenstrasse",1432648737,01.10.1981,,0
,1905,um,1,798,1187,803,Wohnhaus,0.0,0.0,52,Neustadt-Nord,50670,"Krefelder Wall",1432648737,27.10.1981,,0
,1922,um,3,812,1187,816,Wohnhaus,0.0,0.0,13,Müngersdorf,50933,"Auf dem Hügel ",1432648737,03.11.1981,,0
,18,,1,813,1187,817,Wohnhaus,0.0,0.0,"25  //  40",Altstadt-Nord,50667,"Frankenwerft / Buttermarkt",1432648737,03.11.1981,,0
,1920,um,5,818,1187,822,Wohnhaus,0.0,0.0,76,Riehl,50735,"Am Botanischen Garten",1432648737,16.11.1981,,0
,1870,um,3,833,1187,837,"Hofanlage Haus Rath",0.0,0.0,45,Widdersdorf,50739,Hauptstrasse,1432648737,23.11.1981,,0
,1860,um,3,838,1187,842,"Hofanlage Mertenshof",0.0,0.0,1,Widdersdorf,50859,"An den Kastanien ",1432648737,03.12.1981,,0
,19,,6,845,1187,849,Wohnhaus,0.0,0.0,14,Lindweiler,50767,"Pescher Weg ",1432648737,03.12.1981,,0
,1800,um,2,890,1187,894,Wohnhaus,0.0,0.0,47,Weiß,50999,"Weißer Hauptstrasse",1432648737,14.12.1981,,0
,1857,,5,892,1187,896,"Hofanlage Balsamhof",0.0,0.0,45,Longerich,50739,"Longericher Hauptstrasse",1432648737,18.12.1981,,0
,1929,um,3,895,1187,899,Wohnhaus,0.0,0.0,"26 a",Braunsfeld,50933,"Am Morsdorfer Hof ",1432648737,08.01.1982,,0
,1905,um,1,901,1187,904,Wohnhaus,0.0,0.0,44,Neustadt-Nord,50670,"Krefelder Wall",1432648737,11.01.1982,,0
,1820,um,9,902,1187,905,Wohnhaus,0.0,0.0,119-121,Mülheim,51063,"Mülheimer Freiheit ",1432648737,11.01.1982,,0
,1890,um,1,906,1187,909,"Kirche St. Pantaleon u. ehem. Klosterbezirk",0.0,0.0,6,Altstadt-Süd,50676,"Am Pantaleonsberg",1432648737,18.01.1982,,0
,1210,um,1,908,1187,911,"Kirche St. Maria Lyskirchen",0.0,0.0,"11  (ehem. Nr. 8)",Altstadt-Süd,50676,"An Lyskirchen ",1432648737,18.01.1982,,0
,1903,,9,909,1187,912,Kirche,0.0,0.0,848,Dellbrück,51069,"Bergisch Gladbacher Strasse",1432648737,18.01.1982,,0
,1930,um,9,910,1187,913,Pfarrhaus,0.0,0.0,361-363,Dellbrück,51069,"Dellbrücker Mauspfad",1432648737,18.01.1982,,0
,1466,ab,3,913,1187,916,"Kapelle St. Stephanus (Ursdorfer Kapelle)",0.0,0.0,o.Nr.,Weiden,50859,"Freiburger Strasse / Ecke Potsdamer Strasse",1432648737,18.01.1982,,0
,1898,,5,921,1187,924,"Kirche St. Dionysius",0.0,0.0,62,Longerich,50739,"Longericher Hauptstrasse",1432648737,18.01.1982,,0
